Message,Likes,Comments
"ZSK
Friedli und Frnz
Krbholz
Booze & Glory
Donots
Rude Tins
Schmutzki

Wr kuul we da die eint oder anderi Band chiem vo dene ",4,0
"Die rzte
Broilers
Tenacoius D
ME FIRST AND THE GIMME GIMMES     Wu das Johr eres konzrt abgseid worde esch ",2,0
"Polar
The Lillingtons
Teenage Bottlerocket
Descendants
The Bouncing Souls
Comeback Kid
Madball
The Ghost Inside
We Ride
Boysetsfire
Tiger Army
Cock Sparrer
Cockney Rejects
Dead to me
The Distillers
Left Alone
Nerf Herder
Rancid
Street Dogs

",1,0
"Arch Enemy, Eluveitie, In Extremo, Dropkick Murphys, Green Day, inflames, Eskimo Callboy, volbeat, Frei.Wild, parkway drive, nightwish, foo fighters,",1,1
Andrea Manuel Isler Verbrennt die Hexe,0,0
Fever 333 ,0,0
J.b.o,0,0
"Fuchsteufelswild, Majestica, Wind Rose, Temperance, Exit Eden, Phantom Elite <3",1,0
"Calico Official
Tool
Sum41
The Browning",1,1
enter shikari,1,0
"MAD Ball,terror,System of a down,foo Fighters,Bongo Kidz",4,1
Judas Priest,1,0
DJ BOBO,5,0
"Calico, Lass Dass, rzte, System of a Down, Knorkator, Gutalax",3,0
"Rammstein, guns n roses, marilyn manson 
System of a down

AIRBOURNE ",0,0
Witherfall,0,0
annisokay,0,0
GUANO APES  ,0,0
Rammstein,1,1
Driven Under ,1,0
Volbeat   A Day To Remember   Good Charlotte   Unantastbar,38,0
"Gojira, Jinjer, A7X, Scars on Broadway, Machine Head",0,0
Volbeat,1,0
Torsofuck,0,0
Engst roger betontod massendefekt Onkel,0,0
Septris,2,0
MAXIMUM THE HORMONS ,1,0
Iron Maiden,0,1
LANDMVRKS,1,0
"Rammstein, Helvetica, Callejon, (WBTBWB) We butter the bread with butter, Five finger death punch. ",2,0
"Rise of the northstar
Deeznut
Skillet
Korn 
Alice in chains",5,0
Thrice,0,0
Mindcolision,3,0
"Disturbed, Rammstein, Powerwolf, Booldhound Gang, Metallica, Die rzte, Marylin Manson, Billy Talent, Bad Religion, Alien Ant Farm,",0,0
Volbeat   good charlotte   Billy talent   rtze  ,2,0
Rammstein   ,4,0
"Kontrust, Hollywood Undead, Exit Eden, Ankor, The Charm The Fury",2,0
"Skid Row, Broilers, Die rzte, Clawfinger, Green Day, The Offspring, Steel Panther, 69 Eyes",0,0
"Jennifer Rostock, Vader, Heilung, The Algorithm",0,0
Bodycount... The Rumjacks.. rzte,0,0
"Iron maiden, alice cooper",0,0
XII Gallon Overdose,6,0
Ghost  ,0,0
Jinjer,0,0
"Rammstein, Die rzte, Eclipse, Freedom Call, Trivium, Schandmaul..",1,0
Tool,0,0
"Nightwish, Parkway Drive, Xandria",0,0
"Egal, bin eh besoffen.",0,0
"Hatebreed,Inflames ,machine head....",1,5
PALEFACE als local support,1,0
Rammstein,0,0
"Panic at the disco 
Neck Deep 
Paramore 
Code orange 
Stick to your guns 
Malevolence 
Turnstile 
Converge
Full of hell",5,0
"Mallory Knox
The Bottom Line
Neck Deep
FEVER 333
BRING ME THE HORIZON
New Found Glory
The Nutcutters",1,0
"battle beast
dartagnan
cradle of filth
forge
saitenstreich
eisbrecher
feuerschwanz
cultus ferox
tanzwut
equilibrium
windrose",7,5
"Hmatom
Dropkick Murphys
Volbeat",0,0
RAMMSTEIN,3,0
"Rammstein
Parway Drive
Arch Enemy
Jinjer
Escape from Wonderland",1,0
"Children of Bodom
Epica
Turilli Lione Rhapsody
Rammstein
Trivium 
Sum 41
Billy Talent 
Arch Enemy 
Bullet for my Valentine
Zebrahead
Green Day
Die rzte
Slipknot",1,0
"Body Count, Bad Religion, Skindred",0,0
"Soilwork
Soil
Ghost
In Flames
Trivium
Any Given Day
Dark Tranquility
Starset",17,1
Backstreet Boys,0,0
"Rammstein
Tenacious d
Gojira
Ghost
The devil and the almighty blues
Witchcraft
Fire down below
Allegaeon
Psychostick
Alestorm
Fleshgod apocalypse
White stripes
Placebo
Franz ferdinand
Black label society
Kadavar
Radio moscow
Annihilator
Red fang
Testament
Queens of the stone age
Lynyrd skynyrd
Powerwolf
Korn
Tr
Sepultura
Kaiser franz josef
Godsmack
In extremo
Body count

Und noch ein paar mittelalter rock bands",20,1
"parkway drive, bring me the horizon, architects, beartooth, billy talent, bury tomorrow, rammstein, fever 333, while she sleeps, amity affliction",8,0
"Schandmaul, In Extremo, Fiddler's green",1,0
"Rammstein, in Extremo, Volbeat, five finger, pro-pain, slipknot,korn.......",3,0
"eskimo callboy, unantastbar, coldrain,  any given day, parkway drive , five finger death punch, krawallbrder",0,0
the bloodhound gang,1,0
"Die toten hosen, parway drive, slipknot, slayer, volbest, rzte, betontod, rammstein",18,0
I Prevail,2,0
"Arch Enemy, Metallica, Rammstein, Iron Maiden, Vollbeat, System of a down",1,0
Nightwish,0,0
children of bodom,0,0
"volbeat, rammstein, rise against, blink 182, offspring, sum41, marilyn manson, system of a down, green day, die rzte, limp bizkit",14,2
PLACEBO,0,0
"Varg, Satyricon, Waldgeflster, Uada, Saor, Schammasch, Darkspace",0,0
"Wie wrs mit bands die alle prmiere haben bei euch, und nicht alle jahre das selbe",3,0
"Rammstein, Get the Shot, Royal Blood und Irony Of Fate (usem Kanton fr Kanton )",1,0
Du weisst das Slipknot dieses Jahr scho war ,0,0
Betontod,0,0
"Any Given Day
Chelsea Grin
Whitechapel
Make them Suffer
Bless the Fall
Suicide Silence
Burry Tomorrow
A Day to Remember
Heaven Shall Born
Korn
Green Day
Billy talent
Rammstein
The Devil wears Prada 
Bring me the Horizon
Disturbed
Crown the Empire

Linkin Park (Wr zu schn um wahr zu sein.. aber leider nicht mglich): 
- Deshalb Mike Shinoda

Zu viele   ",3,0
"System of a Down, Korn, die rzte, Billy Talent, the Blooshound gang",1,0
Napalm death   misery index   nostromo   rise of the north star   hatebreed   kraanium,1,0
Betontod und bhse onkelz,1,0
Smash hit Combo ,0,0
ZiRKA logischerweise ,4,0
Ren Renfer in flames isch soooooo hfig i de schwiiiiz da gbts sicher bessers ,0,0
Pierce the Veil,0,0
"Stone sour
Motionless in white
Sixx: a.m.
Drowninh pool
Etc. einfach nicht immer wieder die gleichen bitte",0,0
"billy talent, a day to remember, flyleaf, soilwork, hollywood undead, onkelz, kraftklub, avenged sevenfold, skillet, deftones, rammstein, rise against,",0,0
fear and loathing in las vegas,0,0
RAMMSTEIN    ,0,0
Airbourne,0,0
Arnaud vergiss Sullivan King ned xD,1,0
Shery Scofield ....ez abr....,0,0
"In this moment
Arch enemy
Architects
Bullet for my valentine
Our last night
Parkway drive",20,0
Volbeat,0,0
Pierce The Veil,0,0
"Robin Schierholz ja war dabei, wre toll nochmal zu hren",0,0
,0,0
Green Day ,0,0
"Rammstein, Foo Fighters, Metallica",0,0
"Korn, Metallica, Guns n Roses, Marilyn manson, Rob zombie",0,0
"Rammstein 
Five Finger Death Punch
Tool
Muse",3,0
"Warbringer,Havock,Death Angel.hed p.e,
TheVandals,Guttermouth..voodoo glow skulls,",0,0
INSANITY wr iz de ntlech mau na,7,1
Sandra Regsegger rzte wre ume mau pis odr  ,0,1
"five finger
slipknot
onkelz",0,2
"ARCHITECTS, Northlane, MONUMENTS, Heart Of A Coward, Wage War, After The Burial, August Burns Red, While She Sleeps, BETRAYING THE MARTYRS, Sleep Token",3,1
As Sanity Fades,5,0
Jester's Quest,2,0
Broilers,0,0
"Gojira, Jinjer, Soilwork, Lacuna Coil, The Agonist, Architects, Bad Wolves, FFDP, Cellar Darling, Carpenter Brut, Feared, Hatebreed, Hellyeah, Ensiferum",0,0
