Comment Id,Date / Time,From Id,From,Message,Likes,Comments
10157361185413044_10157361191818044,2019-06-24 12:18:30,,,"Ensiferum, Rammstein, slipknot, Five Finger death punch ❤️",1,0
10157361185413044_10157361191958044,2019-06-24 12:18:35,,,Undead Corporation,1,0
10157361185413044_10157361192003044,2019-06-24 12:18:36,,,Rammstein,0,0
10157361185413044_10157361192008044,2019-06-24 12:18:36,,,Thibaud Monney Jérôme Hayoz powertampax,1,0
10157361185413044_10157361192073044,2019-06-24 12:18:39,,,"Hellyeah, Ensiferum",3,0
10157361185413044_10157361192128044,2019-06-24 12:18:42,,,The plot in you🖤❤🖤,1,0
10157361185413044_10157361192133044,2019-06-24 12:18:42,,,"Rammstein, Bad Wolves und 3 Doors Down",0,1
10157361185413044_10157361192193044,2019-06-24 12:18:46,,,"Rammstein, System Of A Down, The Dose, Sum 41, Five Finger Death Punch :)",2,0
10157361185413044_10157361192243044,2019-06-24 12:18:49,,,"Asking Alexandria, Papa Roach, Alien Ant Farm, i Prevail, a Day to Remember",5,0
10157361185413044_10157361192253044,2019-06-24 12:18:50,,,parkway drive,12,0
10157361185413044_10157361192413044,2019-06-24 12:18:58,,,Tenacious D,2,0
10157361185413044_10157361192488044,2019-06-24 12:19:03,,,"Majestica, Avenged Sevenfold, The pretty Reckless, Memories Of Old, Bloodbound, Dynazty, Shinedown ....🤘😁",1,0
10157361185413044_10157361192513044,2019-06-24 12:19:04,,,Red sun rising,0,0
10157361185413044_10157361192603044,2019-06-24 12:19:08,,,Bad Cop🔥,0,0
10157361185413044_10157361192728044,2019-06-24 12:19:17,,,"paddy and the rats, the dreadnoughts, mr. hurley und dir pulveraffen, we butter the bread with butter, ye banished privateers,",1,1
10157361185413044_10157361192733044,2019-06-24 12:19:17,,,Parkway Drive/Slipknot/Rammstein/Oomph/Stone Sour/5fdp/J.B.O/Korn/Metallica...,0,0
10157361185413044_10157361192768044,2019-06-24 12:19:18,,,Alestorm 😂,0,0
10157361185413044_10157361192778044,2019-06-24 12:19:19,,,Terror / Madball,0,0
10157361185413044_10157361192903044,2019-06-24 12:19:28,,,🔥🔥🔥 System of a Down 🔥🔥🔥 Rammstein 🔥🔥🔥 Korn 🔥🔥🔥 Volbeat 🔥🔥🔥 Green Day 🔥🔥🔥,6,0
10157361185413044_10157361192943044,2019-06-24 12:19:31,,,Tenacious D,2,0
10157361185413044_10157361192993044,2019-06-24 12:19:33,,,Benjamin Jäggi Dani Wohlgemuth Michel Weber Andi Berger Martin Gröger,0,0
10157361185413044_10157361193013044,2019-06-24 12:19:34,,,Broilers SCHMUTZKI Metallica Rammstein böhse onkelz WIZO,2,0
10157361185413044_10157361193028044,2019-06-24 12:19:34,,,"Volbeat
Ensiferum
Equilibrium
Brothers of Metal
Follow The Cipher
Burning Witches",0,0
10157361185413044_10157361193128044,2019-06-24 12:19:38,,,Martin A. Gyger Steel Panther😏,3,1
10157361185413044_10157361193193044,2019-06-24 12:19:43,,,Any Given Day,7,0
10157361185413044_10157361193218044,2019-06-24 12:19:46,,,"rammstein, volbeat, die ärzte, five finger death punch, bad wolves, eisbrecher",3,0
10157361185413044_10157361193233044,2019-06-24 12:19:46,,,".
ARCHITECTS
Adept
Any Given Day 
Blessthefall
The Word Alive 
Imminence
Behind Blue Eyes
Of Virtue 
Our Mirage 
 I Prevail
.",2,0
10157361185413044_10157361193238044,2019-06-24 12:19:46,,,AS I LAY DYING and EVERGREY 😍👌🏼,0,0
10157361185413044_10157361193248044,2019-06-24 12:19:47,,,"Rammstein, die Ärzte",14,0
10157361185413044_10157361193313044,2019-06-24 12:19:50,,,Breaking Benjamin,0,0
10157361185413044_10157361193318044,2019-06-24 12:19:50,,,Rotting Christ 🔥🔥,0,0
10157361185413044_10157361193373044,2019-06-24 12:19:54,,,"Palaye royale., und  Beyond the black😊😎",0,0
10157361185413044_10157361193478044,2019-06-24 12:19:57,,,"Rammstein,volbeat,system of a down,five finger death punch",0,0
10157361185413044_10157361193603044,2019-06-24 12:20:08,,,Korn,3,0
10157361185413044_10157361193723044,2019-06-24 12:20:13,,,PARKWAY DRIVE ❤🔥 und fürmi Schatz Fabian Jäggi Alestorm 😂,1,0
10157361185413044_10157361193748044,2019-06-24 12:20:17,,,Mad Sox,4,0
10157361185413044_10157361193763044,2019-06-24 12:20:18,,,"Sabaton, System of a Down, Lagerstein, Alestorm, Gloryhammer, Rammstein",1,0
10157361185413044_10157361193788044,2019-06-24 12:20:19,,,Scheiss Nazis will am Greenfield niemand!! Du vollhonk! 🖕,4,0
10157361185413044_10157361193828044,2019-06-24 12:20:22,,,Hellyeah,0,0
10157361185413044_10157361193848044,2019-06-24 12:20:24,,,SUICIDAL TENDENCIES !!!,1,0
